Start Date,Year,Cycle,ENL,RES
5/10/2016 4:00:00,2016,18,55000,256000
5/17/2016 11:00:00,2016,19,76000,204000
5/24/2016 18:00:00,2016,20,99000,525000
6/1/2016 1:00:00,2016,21,77000,2800000
6/8/2016 8:00:00,2016,22,94000,115000
6/15/2016 15:00:00,2016,23,27000,6100000
6/22/2016 22:00:00,2016,24,120000,84000
6/30/2016 5:00:00,2016,25,87000,810000
7/7/2016 12:00:00,2016,26,83000,162000
7/14/2016 19:00:00,2016,27,54000,1000000
7/22/2016 2:00:00,2016,28,64000,174000
7/29/2016 9:00:00,2016,29,75000,1500000
8/5/2016 16:00:00,2016,30,666000,1600000
8/12/2016 23:00:00,2016,31,76000,119000
8/20/2016 6:00:00,2016,32,101000,114000
8/27/2016 13:00:00,2016,33,85000,415000
9/3/2016 20:00:00,2016,34,55000,194000
9/11/2016 3:00:00,2016,35,163000,402000
9/18/2016 10:00:00,2016,36,67000,104000
9/25/2016 17:00:00,2016,37,65000,97000
10/3/2016 0:00:00,2016,38,55000,121000
10/10/2016 7:00:00,2016,39,96000,645000
10/17/2016 14:00:00,2016,40,92000,97000
10/24/2016 21:00:00,2016,41,185000,124000
11/1/2016 4:00:00,2016,42,123000,89000
11/8/2016 11:00:00,2016,43,95000,115000
11/15/2016 18:00:00,2016,44,146000,95000
11/23/2016 1:00:00,2016,45,76000,111000
11/30/2016 8:00:00,2016,46,91000,119000
12/7/2016 15:00:00,2016,47,281000,141000
12/14/2016 22:00:00,2016,48,121000,155000
12/22/2016 5:00:00,2016,49,114000,130000
12/29/2016 12:00:00,2016,50,175000,483000
1/5/2017 19:00:00,2017,01,153000,418000
1/13/2017 2:00:00,2017,02,164000,360000
1/20/2017 9:00:00,2017,03,188000,265000
1/27/2017 16:00:00,2017,04,188000,509000
2/3/2017 23:00:00,2017,05,132000,1100000
2/11/2017 6:00:00,2017,06,123000,5300000
2/18/2017 13:00:00,2017,07,114000,1400000
2/25/2017 20:00:00,2017,08,101000,1500000
3/5/2017 3:00:00,2017,09,132000,1100000
3/12/2017 10:00:00,2017,10,124000,3500000
3/19/2017 17:00:00,2017,11,89000,1500000
3/27/2017 0:00:00,2017,12,79000,1300000
4/3/2017 7:00:00,2017,13,65000,1700000
4/10/2017 14:00:00,2017,14,75000,870000
4/17/2017 21:00:00,2017,15,70000,627000
4/25/2017 4:00:00,2017,16,166000,2900000
5/2/2017 11:00:00,2017,17,389000,1300000
